Numero;lat1;lon1
445;-84.27452;10.35696
446;-84.27451;10.35688
447;-84.27449;10.35679
448;-84.27446;10.35672
449;-84.27443;10.35664
450;-84.2744;10.35659
451;-84.27436;10.35652
452;-84.27431;10.35645
453;-84.27427;10.35639
454;-84.27422;10.35633
455;-84.27399;10.35607
456;-84.27388;10.35596
457;-84.27379;10.35586
458;-84.33966;10.38057
459;-84.33977;10.38034
460;-84.33998;10.37995
461;-84.34015;10.3797
462;-84.34031;10.37952
463;-84.34076;10.37911
464;-84.34159;10.37844
465;-84.3423;10.37787
466;-84.34246;10.37774
467;-84.34292;10.37737
468;-84.34305;10.37727
469;-84.34362;10.37679
470;-84.34383;10.37662
471;-84.34408;10.37642
472;-84.34467;10.37597
473;-84.34484;10.3758
474;-84.34502;10.37561
475;-84.34512;10.37547
476;-84.34518;10.37532
477;-84.3452;10.37515
478;-84.34312;10.37667
479;-84.34163;10.37653
480;-84.34101;10.37645
481;-84.34014;10.37637
482;-84.34168;10.37604
483;-84.34163;10.37653
484;-84.3416;10.37684
485;-84.34159;10.37695
486;-84.34157;10.37706
487;-84.34155;10.37716
488;-84.34152;10.37727
489;-84.34149;10.37739
490;-84.33883;10.37708
491;-84.33895;10.3771
492;-84.33925;10.37712
493;-84.34005;10.37721
494;-84.34092;10.37731
495;-84.34149;10.37739
496;-84.34159;10.37741
497;-84.34174;10.37744
498;-84.34159;10.37741
499;-84.34134;10.37811
500;-84.34128;10.37819
501;-84.33334;10.37196
502;-84.33331;10.37199
503;-84.33326;10.372
504;-84.33171;10.37177
505;-84.34315;10.36965
506;-84.34327;10.36992
507;-84.34353;10.37031
508;-84.34384;10.37084
509;-84.34394;10.37109
510;-84.34398;10.37128
511;-84.34402;10.37193
512;-84.3457;10.37149
513;-84.3456;10.37192
514;-84.34544;10.37265
515;-84.34534;10.37322
516;-84.34531;10.37368
517;-84.34529;10.3742
518;-84.3452;10.37515
519;-84.34627;10.3732
520;-84.34534;10.37322
521;-84.34482;10.37324
522;-84.3439;10.37325
523;-84.34331;10.37318
524;-84.3431;10.37316
525;-84.34075;10.37013
526;-84.34069;10.37059
527;-84.34066;10.37115
528;-84.34063;10.37191
529;-84.3406;10.3722
530;-84.34053;10.37297
531;-84.34044;10.37375
532;-84.34035;10.37462
533;-84.34639;10.37192
534;-84.3456;10.37192
535;-84.34504;10.37192
536;-84.34497;10.37192
537;-84.34402;10.37193
538;-84.34707;10.3587
539;-84.34704;10.35883
540;-84.347;10.35894
541;-84.34678;10.35939
542;-84.34662;10.35985
543;-84.34652;10.3602
544;-84.34645;10.36034
545;-84.34634;10.36051
546;-84.34625;10.36061
547;-84.34616;10.36098
548;-84.34609;10.36111
549;-84.34586;10.36143
550;-84.34575;10.36166
551;-84.3457;10.36185
552;-84.3457;10.36203
553;-84.34574;10.36216
554;-84.34585;10.3623
555;-84.33334;10.37196
556;-84.3334;10.37173
557;-84.33344;10.37168
558;-84.3335;10.37166
559;-84.33422;10.37175
560;-84.33487;10.37185
561;-84.33514;10.37189
562;-84.33625;10.37199
563;-84.33771;10.3759
564;-84.33783;10.37519
565;-84.33786;10.37496
566;-84.33789;10.37471
567;-84.33792;10.37434
568;-84.33758;10.3734
569;-84.3386;10.37351
570;-84.34453;10.37509
571;-84.34468;10.37418
572;-84.34482;10.37324
573;-84.34504;10.37192
574;-84.34184;10.36972
575;-84.34169;10.3706
576;-84.34161;10.37107
577;-84.34153;10.37203
578;-84.34142;10.373
579;-84.34133;10.37386
580;-84.34123;10.37471
581;-84.33597;10.3695
582;-84.33591;10.37033
583;-84.33591;10.37053
584;-84.33594;10.37078
585;-84.336;10.37104
586;-84.33625;10.37199
587;-84.33636;10.37232
588;-84.33638;10.37242
589;-84.33637;10.37254
590;-84.33599;10.3743
591;-84.35252;10.37608
592;-84.35219;10.37608
593;-84.35251;10.36983
594;-84.35248;10.37022
595;-84.35237;10.37053
596;-84.35226;10.37084
597;-84.35229;10.37105
598;-84.3526;10.37132
599;-84.35284;10.37164
600;-84.35297;10.37219
601;-84.35296;10.37241
602;-84.35259;10.37321
603;-84.35255;10.37355
604;-84.35266;10.37391
605;-84.35289;10.37468
606;-84.35282;10.37509
607;-84.35242;10.37586
608;-84.35235;10.37626
609;-84.35243;10.37673
610;-84.35266;10.37715
611;-84.35263;10.37755
612;-84.3525;10.37788
613;-84.35258;10.37834
614;-84.35305;10.37881
615;-84.35352;10.37935
616;-84.3536;10.37987
617;-84.35345;10.3802
618;-84.35303;10.38054
619;-84.35302;10.38117
620;-84.35297;10.38184
621;-84.35265;10.38224
622;-84.3525;10.3828
623;-84.35251;10.38339
624;-84.35269;10.38394
625;-84.35281;10.38513
626;-84.35196;10.38652
627;-84.35099;10.38776
628;-84.35101;10.38892
629;-84.34959;10.39218
630;-84.34816;10.39448
631;-84.34751;10.39586
632;-84.34733;10.39779
633;-84.34671;10.39849
634;-84.34651;10.39931
635;-84.34588;10.40036
636;-84.34591;10.40131
637;-84.34616;10.40192
638;-84.3462;10.40242
639;-84.34595;10.40287
640;-84.34557;10.40374
641;-84.3458;10.40467
642;-84.34602;10.40511
643;-84.34602;10.4062
644;-84.34626;10.40742
645;-84.34668;10.40877
646;-84.34724;10.40963
647;-84.34733;10.4099
648;-84.35219;10.37608
649;-84.35211;10.37608
650;-84.35178;10.37607
651;-84.35153;10.37602
